Date,Open,High,Low,Close,Volume,Adj Close,I,j,RSV,K,D,J,KDJ_s,X,A,B,RSI,RSI_s,F,FI,FI_s,EMA,EMA_s,close_s,signal,price,buy,sell,profit
2015-01-01,15.17999,15.17999,15.17999,15.17999,0,8.42003,,,,50.0,50.0,0.0,0.0,-16.57997,0.0,0.0,0.0,0.0,-251.6837788,0.0,0.0,0.0,0.0,0.0,0.0,8.42003,0.0,0.0,0.0
2015-01-05,14.74999,18.03996,14.09999,16.67,6713100,9.2465,,,,50.0,50.0,0.0,0.0,0.82647,0.0,0.0,0.0,0.0,11.6532187353,0.0,0.0,0.0,0.0,1.0,0.0,9.2465,0.0,0.0,0.0
2015-01-12,16.48001,16.97999,15.60001,16.65,3511300,9.23541,,,,50.0,50.0,0.0,0.0,-0.01109,0.0,0.0,0.0,0.0,-0.1730041109,0.0,0.0,0.0,0.0,0.0,0.0,9.23541,0.0,0.0,0.0
2015-01-19,16.0,18.10008,15.93,17.06999,4875400,9.46837,,,,50.0,50.0,0.0,0.0,0.23296,0.0,0.0,0.0,0.0,3.7110528,0.0,0.0,0.0,0.0,1.0,0.0,9.46837,0.0,0.0,0.0
2015-01-26,16.88999,18.50004,16.75001,16.79,3653800,9.31307,,,,50.0,50.0,0.0,0.0,-0.1553,0.0,0.0,0.0,0.0,-2.601276553,0.0,0.0,7.274062,1.0,0.0,0.0,9.31307,0.0,0.0,0.0
2015-02-02,16.48001,19.20006,16.22,18.48996,8033800,10.256,-3.84399,4.40005,-87.3624163362,4.21252788794,34.737509296,-56.8374349281,0.0,0.94293,1.05943,-16.74636,5.94991853773,1.0,15.2943246,3.36392383133,1.0,8.26804133333,1.0,1.0,0.0,10.256,0.0,0.0,0.0
2015-02-09,18.39996,19.00008,17.40001,18.70002,7389500,10.37251,-3.72748,5.10007,-73.0868399845,-21.5539280696,15.9736968408,-96.6091778903,0.0,0.11651,2.00236,-0.16639,92.3278386167,1.0,2.0272751651,10.8719747884,1.0,8.96953088889,1.0,1.0,0.0,10.37251,0.0,0.0,0.0
2015-02-16,18.55008,20.88,18.39996,19.99998,5004500,11.09357,-4.50644,3.60005,-125.177150317,-56.0950021522,-8.04920282352,-152.186600809,0.0,0.72106,1.2924,-0.16639,88.5939717163,0.0,13.2674751576,5.77400849593,0.0,9.67754392593,1.0,1.0,0.0,11.09357,0.0,0.0,0.0
2015-02-23,19.99998,20.08998,18.50004,19.20996,3978300,10.65537,-5.27463,4.95,-106.558181818,-72.9160620408,-29.6714892293,-159.405207664,0.0,-0.4382,2.01346,-0.1553,92.8392261016,1.0,-8.106717528,6.1427442624,1.0,10.0034859506,1.0,0.0,0.0,10.65537,0.0,0.0,0.0
2015-03-02,19.20996,20.37996,18.23004,18.79992,9639700,10.42793,-5.79207,4.66,-124.293347639,-90.041823907,-49.7949341219,-170.535603477,0.0,-0.22744,1.7805,-0.5935,75.0,0.0,-4.1462402976,-6.7865584512,0.0,10.1449673004,1.0,0.0,0.0,10.42793,0.0,0.0,0.0
2015-03-09,18.50004,22.46994,18.36,21.81996,11591100,12.10308,-4.11692,4.66,-88.3459227468,-89.4765235203,-63.022130588,-142.385309385,1.0,1.67515,1.7805,-0.66564,72.7881478574,0.0,30.755754,7.4877578016,1.0,10.7976715336,1.0,1.0,0.0,12.10308,0.0,0.0,0.0
2015-03-16,21.81996,21.81996,21.81996,21.81996,0,12.10308,-5.29693,5.06993,-104.477379372,-94.4768088042,-73.5070233268,-136.416379759,1.0,0.0,2.51272,-0.66564,79.0571237997,1.0,0.0,20.503836,1.0,11.2328076891,1.0,0.0,1.0,12.10308,12.10308,0.0,0.0
2015-03-23,21.81996,23.99994,21.81996,23.99994,46300,13.31227,-4.91777,4.2399,-115.987877073,-101.647164894,-82.8870705157,-139.16735365,0.0,1.20919,2.39621,-0.66564,78.2602021654,0.0,26.3844774324,8.7948258108,0.0,11.9259617927,1.0,1.0,0.0,13.31227,0.0,0.0,0.0
2015-03-30,26.40006,36.84996,24.49998,36.84996,18755800,20.43991,2.20987,5.7699,38.2999705368,-54.9981197502,-73.5907535939,-17.8128520628,1.0,7.12764,2.88434,-0.66564,81.249471828,1.0,174.627037447,75.798664104,1.0,14.7639445285,1.0,1.0,0.0,20.43991,0.0,0.0,0.0
2015-04-06,36.84996,37.8,30.56994,32.77008,13524700,18.17688,-0.05316,18.61992,-0.285500689584,-36.7605800633,-61.3140290837,12.3463179774,1.0,-2.26303,10.01198,-0.22744,97.7787804387,1.0,-69.1806913182,93.3577945254,1.0,15.9015896857,1.0,0.0,0.0,18.17688,0.0,0.0,0.0
2015-04-13,32.11992,33.85008,27.88002,28.72998,9794700,15.93592,-2.42408,19.44,-12.4695473251,-28.6635691506,-50.4305424393,14.8703774269,1.0,-2.24096,10.01198,-2.26303,81.5639254062,0.0,-62.4780096192,-66.9464640852,0.0,15.9130331238,1.0,0.0,0.0,15.93592,0.0,0.0,0.0
2015-04-20,28.98,31.44996,26.1,29.55996,12290000,16.3963,-5.42366,15.98004,-33.9402154187,-30.42245124,-43.7611787062,-3.74499630749,0.0,0.46038,8.33683,-4.50399,64.9244362899,0.0,12.015918,-37.6467004128,1.0,16.0741220825,1.0,1.0,0.0,16.3963,0.0,0.0,0.0
2015-04-27,29.55996,31.80996,27.75006,29.7,8953000,16.47397,-5.34599,15.98004,-33.454171579,-31.4330246863,-39.6517940329,-14.9954859932,0.0,0.07767,8.79721,-4.50399,66.1384687096,1.0,2.1553471602,8.7290610534,1.0,16.2074047217,1.0,1.0,0.0,16.47397,0.0,0.0,0.0
2015-05-04,29.07,29.50002,25.79994,28.99008,7815400,16.0802,-8.41978,13.30002,-63.3065213436,-42.0575235721,-40.4537038793,-45.2651629576,0.0,-0.39377,7.66569,-4.50399,62.9900704045,0.0,-10.1592423738,-1.9495160178,0.0,16.1650031478,0.0,0.0,-1.0,16.0802,0.0,16.0802,0.328603958662
2015-05-11,29.88,34.70004,29.10006,33.39,13745600,18.52074,-7.2792,12.00006,-60.6596967015,-48.2582479486,-43.0552185691,-58.6643067076,0.0,2.44054,0.53805,-4.89776,9.89824883504,0.0,71.0198604324,16.9004585616,1.0,16.9502487652,1.0,1.0,0.0,18.52074,0.0,0.0,0.0
2015-05-18,33.49998,39.74994,32.41998,38.07,11591800,21.11664,-4.6833,8.9001,-52.6207570701,-49.7124176558,-45.2742849313,-58.5886831047,1.0,2.5959,2.97859,-2.63473,53.062893261,1.0,84.159026082,75.3995823156,1.0,18.3390458435,1.0,1.0,1.0,21.11664,21.11664,0.0,0.0
2015-05-25,37.8,47.89998,36.37008,39.79008,12602800,22.07073,-3.72921,13.95,-26.732688172,-42.0525078278,-44.2003592301,-37.7568050233,1.0,0.95409,5.57449,-0.39377,93.4022646466,1.0,34.7003296272,67.6727939304,0.0,19.5829405623,1.0,1.0,0.0,22.07073,0.0,0.0,0.0
2015-06-01,39.54006,46.00008,38.14002,42.44994,8715700,23.5461,-2.25384,22.10004,-10.1983525822,-31.4344560793,-39.9450581799,-14.4132518782,1.0,1.47537,6.0682,-0.39377,93.9063474451,1.0,56.2706413074,41.8904335206,0.0,20.9039937082,1.0,1.0,0.0,23.5461,0.0,0.0,0.0
2015-06-08,41.99994,47.84994,37.60002,47.19996,8425900,26.2222,0.42226,22.10004,1.9106752748,-20.3194122946,-33.4031762181,5.84811555242,1.0,2.6761,7.4659,-0.39377,94.9899932185,1.0,100.621413522,71.0542320456,1.0,22.6767291388,1.0,1.0,0.0,26.2222,0.0,0.0,0.0
2015-06-15,46.15002,53.76996,41.88006,41.88006,9756000,23.2667,-5.83336,18.79992,-31.0286426751,-23.8891557548,-30.2318360637,-11.203795137,0.0,-2.9555,10.142,0.0,100.0,1.0,-123.77651733,25.822103238,0.0,22.8733860925,1.0,0.0,0.0,23.2667,0.0,0.0,0.0
2015-06-22,41.88006,46.00008,37.67004,37.67004,7596700,20.9278,-11.49218,21.34998,-53.8275914076,-33.8686343057,-31.4441021443,-38.7176986284,0.0,-2.3389,7.70146,-2.9555,72.2669504249,0.0,-88.106456556,-111.886497072,0.0,22.224857395,0.0,0.0,-1.0,20.9278,0.0,20.9278,-0.00894271058274
2015-06-29,37.67994,37.99998,25.52004,25.52004,9912600,14.1778,-22.19228,17.39988,-127.542718685,-65.0933290989,-42.6605111292,-109.958965038,0.0,-6.75,5.10556,-5.2944,49.0921118927,0.0,-172.26027,-116.157727704,0.0,19.54250493,0.0,0.0,0.0,14.1778,0.0,0.0,0.0
2015-07-06,27.79992,27.79992,18.59994,23.11992,9142900,12.8444,-12.67564,28.24992,-44.8696491884,-58.3521024621,-47.8910415735,-79.2742242393,1.0,-1.3334,4.15147,-12.0444,25.6328928301,0.0,-24.801159996,-123.107233332,0.0,17.3098032867,0.0,0.0,0.0,12.8444,0.0,0.0,0.0
2015-07-13,25.43004,27.97002,22.03002,26.74998,12783300,14.8611,-3.73884,35.17002,-10.6307588111,-42.4449879117,-46.0756903529,-35.1835830294,1.0,2.0167,2.6761,-13.3778,16.6694697239,0.0,44.427941334,-1.724792886,1.0,16.4935688578,0.0,1.0,0.0,14.8611,0.0,0.0,0.0
2015-07-20,27.0,31.30002,25.59996,28.90008,15086600,16.0556,-2.54434,35.17002,-7.2344002079,-30.7081253438,-40.9531686832,-10.218038665,1.0,1.1945,2.0167,-13.3778,13.1001331644,0.0,30.57915222,39.811678296,1.0,16.3475792385,0.0,1.0,0.0,16.0556,0.0,0.0,0.0
2015-07-27,27.79992,29.19006,21.49992,22.75002,9951100,12.6389,-5.96104,27.40014,-21.7555092784,-27.7239199887,-36.5434191184,-10.0849217293,1.0,-3.4167,3.2112,-10.4223,23.5537462867,1.0,-73.458776664,-4.100157408,0.0,15.1113528257,0.0,0.0,0.0,12.6389,0.0,0.0,0.0
2015-08-03,22.55994,25.30008,20.39994,25.30008,9826900,14.0556,-4.54434,19.40004,-23.424384692,-26.2907415564,-33.1258599311,-12.6205048072,0.0,1.4167,3.2112,-11.5001,21.8281185211,0.0,28.900594998,-39.33898611,0.0,14.7594352171,0.0,1.0,0.0,14.0556,0.0,0.0,0.0
2015-08-10,26.1,28.38006,25.21998,26.92008,9696000,14.9556,-3.64434,12.70008,-28.6954097927,-27.0922976352,-31.1146724991,-19.0475479074,0.0,0.9,4.6279,-4.7501,49.3484751546,1.0,22.697982,26.833057332,1.0,14.8248234781,1.0,1.0,0.0,14.9556,0.0,0.0,0.0
2015-08-17,26.65008,29.52,23.25006,23.97996,11255600,13.3222,-7.07774,10.90008,-64.9329179235,-39.7058377313,-33.9783942432,-51.1607247076,0.0,-1.6334,5.5279,-3.4167,61.8015338864,1.0,-37.976648004,2.473105332,0.0,14.3239489854,0.0,0.0,0.0,13.3222,0.0,0.0,0.0
2015-08-24,22.87998,23.14008,16.83,20.23992,7678900,11.2444,-9.15554,10.90008,-83.9951633383,-54.468946267,-40.8085782511,-81.7896822987,0.0,-2.0778,3.5112,-5.0501,41.0124630605,0.0,-34.969374,-36.974223336,0.0,13.2974326569,0.0,0.0,0.0,11.2444,0.0,0.0,0.0
2015-08-31,19.99998,19.99998,15.22001,15.61,4187100,8.67222,-8.15778,12.69,-64.285106383,-57.740999639,-46.4527187137,-80.3175614894,1.0,-2.57218,2.3167,-7.1279,24.5293606929,0.0,-39.1486053218,-36.3624511073,1.0,11.7556951046,0.0,0.0,0.0,8.67222,0.0,0.0,0.0
2015-09-07,16.05,19.29996,16.04,18.97002,7076700,10.5389,-4.68111,14.29999,-32.7350578567,-49.4056857115,-47.4370410463,-53.342975042,1.0,1.86668,2.3167,-6.28338,26.9381215058,1.0,29.9415472,-16.1185544812,1.0,11.3500967364,0.0,1.0,1.0,10.5389,10.5389,0.0,0.0
2015-09-14,18.9,19.13994,15.35999,17.87999,6060700,9.93333,-5.28668,14.29999,-36.9698160628,-45.2603958286,-46.7114926404,-42.358202205,1.0,-0.60557,2.76668,-6.28338,30.5708470441,1.0,-9.3015491443,16.8605150852,1.0,10.8778411576,0.0,0.0,0.0,9.93333,0.0,0.0,0.0
2015-09-21,17.51999,20.57994,17.40001,18.73998,8717100,10.4111,-4.80891,14.29999,-33.6287647754,-41.3831854775,-44.9353902528,-34.278775927,1.0,0.47777,1.86668,-6.88895,21.3197679664,0.0,8.3132027777,-3.4299651703,0.0,10.7222607717,0.0,1.0,0.0,10.4111,0.0,0.0,0.0
2015-09-28,18.72,22.78008,12.0,12.0,10919700,6.66667,-8.55334,7.92007,-107.995762664,-63.5873778729,-51.1527194595,-88.4566946998,0.0,-3.74443,2.34445,-5.25555,30.8480263158,1.0,-44.93316,-9.43558481487,0.0,9.37039718116,0.0,0.0,-1.0,6.66667,0.0,6.66667,-0.367422596286
2015-10-05,12.0,13.2778,12.0,13.1556,6559600,7.30867,-4.69133,10.78008,-43.5185082114,-56.8977546524,-53.0677311905,-64.5578015763,1.0,0.642,2.34445,-6.92218,25.2999202515,0.0,7.704,-27.38744,0.0,8.68315478744,0.0,1.0,0.0,7.30867,0.0,0.0,0.0
2015-10-12,13.1667,16.6,12.8889,16.15,29403300,16.15,4.15,10.78008,38.4969313771,-25.0995259759,-43.744996119,12.1914143102,1.0,8.84133,2.98645,-4.35,40.7070176993,1.0,113.955018237,43.121006079,1.0,11.1721031916,1.0,1.0,1.0,16.15,16.15,0.0,0.0
2015-10-19,15.71,25.4,15.51,25.4,36701300,25.4,13.4,10.78008,124.303344688,24.7014309119,-20.929520442,115.96333362,1.0,9.25,9.9611,-4.35,69.6040136677,1.0,143.4675,123.792512158,1.0,15.9147354611,1.0,1.0,0.0,25.4,0.0,0.0,0.0
2015-10-26,26.0,28.8,22.5,25.42,46812500,25.42,13.42,13.4,100.149253731,49.8507051851,2.66388810036,144.224339354,1.0,0.02,19.2111,-3.74443,83.6883313084,1.0,0.45,95.795,0.0,19.0831569741,1.0,1.0,0.0,25.42,0.0,0.0,0.0
2015-11-02,22.88,23.58,20.7,22.23,29523900,22.23,10.23,16.8,60.8928571429,53.5314225043,19.6197329017,121.35480171,0.0,-3.19,18.75333,-3.74443,83.3564319292,0.0,-66.033,-21.711,0.0,20.1321046494,1.0,0.0,0.0,22.23,0.0,0.0,0.0
2015-11-09,21.6,26.85,21.11,22.66,32276600,22.66,10.66,16.8,63.4523809524,56.8384086537,32.0259581523,106.463309656,0.0,0.43,18.75333,-3.19,85.4625528577,1.0,9.0773,-40.9962333333,0.0,20.9747364329,1.0,1.0,0.0,22.66,0.0,0.0,0.0
2015-11-16,21.6,23.7,21.02,22.25,15703100,22.25,9.3611,15.9111,58.8337701353,57.5035291476,40.5184818174,91.4736238078,0.0,-0.41,18.54133,-3.19,85.3207327853,0.0,-8.6182,3.1788,1.0,21.3998242886,1.0,0.0,0.0,22.25,0.0,0.0,0.0
2015-11-23,22.0,24.05,21.0,21.5,18317900,21.5,5.99,13.29,45.0714823175,53.3595135375,44.7988257241,70.4808891644,0.0,-0.75,9.7,-3.6,72.9323308271,0.0,-15.75,-10.9954666667,0.0,21.4332161924,1.0,0.0,0.0,21.5,0.0,0.0,0.0
2015-11-30,21.53,24.8,19.4,23.86,25405900,23.86,3.16,8.1,39.012345679,48.5771242514,46.0582585665,53.614855621,0.0,2.36,0.45,-4.35,9.375,0.0,45.784,4.76133333333,1.0,22.2421441283,1.0,1.0,0.0,23.86,0.0,0.0,0.0
2015-12-07,23.86,26.25,22.34,22.35,26449700,22.35,2.95,7.45,39.5973154362,45.5838546463,45.9001239265,44.951316086,0.0,-1.51,2.79,-4.35,39.0756302521,1.0,-33.7334,19.2782,1.0,22.2780960855,1.0,0.0,0.0,22.35,0.0,0.0,0.0
2015-12-14,22.34,26.38,22.0,25.9,17062000,25.9,6.5,7.45,87.2483221477,59.4720104801,50.424086111,77.5678592183,1.0,3.55,2.79,-2.67,51.0989010989,1.0,78.1,3.5444,0.0,23.4853973903,1.0,1.0,0.0,25.9,0.0,0.0,0.0
2015-12-21,25.9,28.75,24.24,27.71,20714000,27.71,8.31,6.98,119.054441261,79.3328207403,60.0603309874,117.877800246,1.0,1.81,5.91,-2.67,68.8811188811,1.0,43.8744,66.6914666667,1.0,24.8935982602,1.0,1.0,0.0,27.71,0.0,0.0,0.0
2015-12-28,26.3,32.0,26.0,27.48,30167300,27.48,8.08,9.35,86.4171122995,81.69425126,67.271637745,110.53947829,0.0,-0.23,7.72,-2.26,77.3547094188,1.0,-5.98,27.2562666667,0.0,25.7557321735,1.0,0.0,0.0,27.48,0.0,0.0,0.0
2016-01-04,27.1,28.46,22.06,25.0,23685000,25.0,5.6,12.6,44.4444444444,69.2776489882,67.9403081594,71.9523306458,0.0,-2.48,7.72,-1.74,81.6067653277,1.0,-54.7088,-22.2229333333,0.0,25.503821449,0.0,0.0,-1.0,25.0,0.0,25.0,0.547987616099
