Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,68.20,68.20,47.62,52.20,3287100,52.20
2015-12-28,73.11,74.69,68.98,68.99,2845900,68.99
2015-12-21,74.80,80.00,72.20,73.76,6665400,73.76
2015-12-14,79.80,80.10,73.20,75.54,8387500,75.54
2015-12-07,71.29,82.86,71.01,81.50,7807700,81.50
2015-11-30,72.10,74.90,67.10,71.30,5134700,71.30
2015-11-23,75.70,87.97,73.01,73.25,8238900,73.25
2015-11-16,75.00,82.03,73.99,76.70,6755000,76.70
2015-11-09,79.52,91.58,77.58,78.30,9083700,78.30
2015-11-02,72.00,83.50,71.80,81.63,7824900,81.63
2015-10-26,88.85,88.86,73.38,76.52,10297200,76.52
2015-10-19,67.49,87.37,63.80,87.37,13329900,87.37
2015-10-12,60.29,70.00,59.40,68.15,9482200,68.15
2015-10-05,53.56,60.24,53.56,59.28,3249000,59.28
2015-09-28,53.28,58.39,52.33,53.56,3962200,53.56
2015-09-21,51.05,61.50,50.46,53.28,12499200,53.28
2015-09-14,55.89,60.49,45.12,53.67,13896000,53.67
2015-09-07,39.80,55.43,39.80,55.43,11686800,55.43
2015-08-31,46.00,46.00,34.80,39.00,3849600,39.00
2015-08-24,51.85,51.99,39.92,47.03,5511100,47.03
2015-08-17,65.05,67.00,53.49,54.76,6136000,54.76
2015-08-10,69.00,74.20,64.46,71.34,6254000,71.34
2015-08-03,57.50,64.78,53.50,64.78,4067600,64.78
2015-07-27,80.11,83.60,58.14,59.50,4989800,59.50
2015-07-20,82.00,93.50,76.32,85.20,5643000,85.20
2015-07-13,77.23,84.95,68.81,79.20,4775100,79.20
2015-07-06,87.56,87.56,56.00,70.21,6266800,70.21
2015-06-29,110.53,119.57,79.51,79.60,5978100,79.60
2015-06-22,128.55,142.01,110.16,110.16,3339000,110.16
2015-06-15,153.50,155.97,126.60,128.55,4015300,128.55
2015-06-08,160.00,160.00,138.88,158.61,4570200,158.61
2015-06-01,158.88,181.60,150.88,168.61,5542500,168.61
2015-05-25,167.83,170.96,152.70,157.00,5387200,157.00
2015-05-18,400.01,420.15,179.46,186.48,3957600,186.48
2015-05-11,415.00,474.00,359.00,391.10,2216500,195.354
2015-05-04,295.95,400.62,278.01,400.62,2035200,200.109
2015-04-27,309.99,314.44,266.00,305.10,1928700,152.397
2015-04-20,253.99,333.00,233.01,319.55,1532500,159.615
2015-04-13,240.00,295.00,225.60,254.95,1591800,127.347
2015-04-06,210.06,231.07,174.89,230.13,2263000,114.95
2015-03-30,175.00,210.06,158.16,210.06,2527400,104.925
2015-03-23,190.00,208.20,162.50,178.00,2533100,88.911
2015-03-16,145.18,177.05,141.00,177.05,2254500,88.436
2015-03-09,129.29,143.51,122.58,136.18,1959700,68.022
2015-03-02,126.69,149.69,124.40,133.00,2062500,66.433
2015-02-23,126.93,138.88,118.34,130.49,1296900,65.18
2015-02-16,104.00,126.93,101.64,126.93,962400,63.401
2015-02-09,89.99,108.80,87.00,104.90,4478100,52.397
2015-02-02,76.80,98.20,74.00,88.60,3025000,44.256
2015-01-26,76.98,87.00,76.80,78.72,1590500,39.321
2015-01-19,79.00,85.99,77.01,77.62,2924500,38.771
2015-01-12,65.70,82.15,65.70,81.99,2822500,40.954
2015-01-05,60.50,72.10,58.00,66.99,3864300,33.461
2015-01-01,64.30,64.30,64.30,64.30,000,32.118
