Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,51.75,51.77,43.01,45.38,24497500,45.38
2015-12-28,54.51,54.55,51.60,52.21,15486600,52.21
2015-12-21,51.40,57.60,51.19,55.20,35217700,55.20
2015-12-14,46.78,54.20,46.62,51.89,34778300,51.89
2015-12-07,49.82,51.74,46.08,47.65,28660600,47.65
2015-11-30,45.15,53.70,42.20,49.66,45868100,49.66
2015-11-23,47.68,49.96,44.11,44.59,20050900,44.59
2015-11-16,46.60,50.99,46.37,47.66,25147400,47.66
2015-11-09,50.18,52.50,46.93,47.89,33800200,47.89
2015-11-02,41.70,51.45,40.77,50.37,41328900,50.37
2015-10-26,45.58,46.58,41.04,42.50,18098200,42.50
2015-10-19,41.13,45.50,40.51,44.57,20649800,44.57
2015-10-12,39.00,41.54,38.68,41.13,15064600,41.13
2015-10-05,35.83,38.60,35.83,38.55,6660900,38.55
2015-09-28,38.01,38.15,35.80,35.83,4802200,35.83
2015-09-21,36.77,40.18,36.31,38.15,12572300,38.15
2015-09-14,37.05,37.78,34.40,37.16,17943100,37.16
2015-09-07,36.90,38.70,35.33,36.91,18020000,36.91
2015-08-31,36.00,38.90,35.48,37.39,33767900,37.39
2015-08-24,35.00,37.60,29.88,36.92,52471000,36.92
2015-08-17,44.34,44.93,36.76,36.79,26193000,36.79
2015-08-10,43.98,47.23,43.71,44.78,22621100,44.55
2015-08-03,42.20,44.97,42.10,43.99,21468200,43.76
2015-07-27,48.44,48.90,42.00,42.99,41885600,42.77
2015-07-20,51.00,51.68,48.33,49.26,35663600,49.01
2015-07-13,54.00,56.50,48.01,51.14,39241900,50.88
2015-07-06,55.00,58.66,45.35,55.82,77392600,55.53
2015-06-29,57.00,62.00,49.00,50.36,57183900,50.10
2015-06-22,55.95,60.65,52.71,55.44,30259100,55.16
2015-06-15,65.15,65.98,55.00,55.95,30332200,55.66
2015-06-08,63.43,70.60,63.01,65.49,52307300,65.15
2015-06-01,58.30,67.00,57.80,63.69,44248000,63.36
2015-05-25,66.35,68.49,57.60,58.81,46961500,58.51
2015-05-18,59.00,66.23,58.49,65.57,50054900,65.23
2015-05-11,60.85,66.89,59.22,60.30,68137700,59.99
2015-05-04,53.82,66.02,52.98,60.81,88096000,60.50
2015-04-27,52.97,55.50,50.70,53.83,33024300,53.55
2015-04-20,55.90,56.50,51.98,52.96,37008400,52.69
2015-04-13,58.80,58.80,52.68,55.38,40642700,55.10
2015-04-06,54.85,60.04,54.12,57.88,47521500,57.58
2015-03-30,52.58,56.55,51.65,54.85,41013200,54.57
2015-03-23,54.53,57.60,51.41,52.16,43945300,51.89
2015-03-16,51.70,57.50,51.21,54.80,49892600,54.52
2015-03-09,46.00,53.45,44.00,51.90,52001800,51.63
2015-03-02,50.65,51.49,46.80,47.18,54758600,46.94
2015-02-23,52.64,52.64,52.64,52.64,000,52.37
2015-02-16,52.64,52.64,52.64,52.64,000,52.37
2015-02-09,52.64,52.64,52.64,52.64,000,52.37
2015-02-02,52.64,52.64,52.64,52.64,000,52.37
2015-01-26,52.64,52.64,52.64,52.64,000,52.37
2015-01-19,52.64,52.64,52.64,52.64,000,52.37
2015-01-12,45.30,54.69,44.75,52.64,50606500,52.37
2015-01-05,51.02,51.82,44.90,46.81,46817500,46.57
2015-01-01,49.56,49.56,49.56,49.56,000,49.31
