Date,Open,High,Low,Close,Volume,Adj Close,I,j,RSV,K,D,J,KDJ_s,X,A,B,RSI,RSI_s,F,FI,FI_s,EMA,EMA_s,close_s,signal,price,buy,sell,profit
2015-05-28,16.23,17.85,16.23,17.85,13100,17.85,,,,50.0,50.0,0.0,0.0,-22.19,0.0,0.0,0.0,0.0,-360.1437,0.0,0.0,0.0,0.0,0.0,0.0,17.85,0.0,0.0,0.0
2015-06-01,19.64,28.75,19.64,28.75,6300,28.75,,,,50.0,50.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,214.076,0.0,0.0,0.0,0.0,1.0,0.0,28.75,0.0,0.0,0.0
2015-06-08,31.63,46.31,31.63,46.31,23300,46.31,,,,50.0,50.0,0.0,0.0,17.56,0.0,0.0,0.0,0.0,555.4228,0.0,0.0,0.0,0.0,1.0,0.0,46.31,0.0,0.0,0.0
2015-06-15,50.94,56.03,40.85,40.85,8931200,40.85,,,,50.0,50.0,0.0,0.0,-5.46,0.0,0.0,0.0,0.0,-223.041,0.0,0.0,0.0,0.0,0.0,0.0,40.85,0.0,0.0,0.0
2015-06-22,40.85,43.88,34.07,34.07,6015000,34.07,,,,50.0,50.0,0.0,0.0,-6.78,0.0,0.0,0.0,0.0,-230.9946,0.0,0.0,26.752,1.0,0.0,0.0,34.07,0.0,0.0,0.0
2015-06-29,35.0,40.51,30.96,33.27,7827500,33.27,17.04,39.8,42.8140703518,47.6046901173,49.2015633724,44.4109436069,1.0,-0.8,28.46,-34.43,45.2536174273,1.0,-24.768,-162.2524,0.0,28.9246666667,1.0,0.0,0.0,33.27,0.0,0.0,0.0
2015-07-06,36.6,36.6,24.46,32.89,4557700,32.89,13.25,36.39,36.4111019511,43.8734940619,47.4255402689,36.7694016478,0.0,-0.38,28.46,-13.04,68.578313253,1.0,-9.2948,-19.6102666667,1.0,30.2464444444,1.0,0.0,0.0,32.89,0.0,0.0,0.0
2015-07-13,35.44,38.8,29.5,33.7,6871600,33.7,9.24,31.57,29.2682926829,39.0050936022,44.6187247133,27.77783138,0.0,0.81,17.56,-13.42,56.6817301485,0.0,23.895,1.76846666667,1.0,31.3976296296,1.0,1.0,0.0,33.7,0.0,0.0,0.0
2015-07-20,33.7,40.7,32.12,39.71,8479000,39.71,15.25,31.57,48.3053531834,42.1051801293,43.7808765187,38.7537873505,1.0,6.01,0.81,-13.42,5.69219957836,0.0,193.0412,80.2770666667,1.0,34.1684197531,1.0,1.0,0.0,39.71,0.0,0.0,0.0
2015-07-27,39.01,42.91,32.88,39.85,9594700,39.85,15.39,19.42,79.2481977343,54.4861859976,47.3493130116,68.7599319696,1.0,0.14,6.82,-7.96,46.1434370771,1.0,4.6032,130.228533333,1.0,36.0622798354,1.0,1.0,1.0,39.85,39.85,0.0,0.0
2015-08-03,39.01,45.39,37.73,42.11,11518200,42.11,17.65,18.45,95.6639566396,68.2121095449,54.3035785227,96.0291715893,1.0,2.26,6.96,-1.18,85.5036855037,1.0,85.2698,31.4920666667,0.0,38.0781865569,1.0,1.0,0.0,42.11,0.0,0.0,0.0
2015-08-10,42.07,50.85,41.65,46.76,10318700,46.76,22.3,20.93,106.545628285,80.9899491249,63.1990353901,116.571776594,1.0,4.65,9.22,-0.38,96.0416666667,1.0,193.6725,121.404033333,1.0,40.9721243713,1.0,1.0,0.0,46.76,0.0,0.0,0.0
2015-08-17,45.97,48.12,37.62,43.81,6968800,43.81,14.31,21.35,67.0257611241,76.3352197913,67.5777635238,93.8501323262,0.0,-2.95,13.87,0.0,100.0,1.0,-110.979,92.122,0.0,41.9180829142,1.0,0.0,0.0,43.81,0.0,0.0,0.0
2015-08-24,43.0,61.0,39.23,60.97,14817600,60.97,28.85,18.73,154.030966364,102.233801982,79.1297763433,148.44185326,1.0,17.16,13.06,-2.95,81.5740162399,0.0,673.1868,150.4096,1.0,48.2687219428,1.0,1.0,0.0,60.97,0.0,0.0,0.0
2015-08-31,57.98,60.77,53.31,59.65,6115000,59.65,26.77,28.12,95.1991465149,99.8889168265,86.0494898377,127.567770804,0.0,-1.32,24.21,-2.95,89.1384388807,1.0,-70.3692,425.3348,1.0,52.0624812952,1.0,0.0,0.0,59.65,0.0,0.0,0.0
2015-09-07,59.88,64.76,55.11,56.77,6324500,56.77,19.15,23.38,81.9076133447,93.8951489992,88.6647095582,104.356027881,0.0,-2.88,24.07,-4.27,84.9329569513,0.0,-158.7168,-99.8184,0.0,53.6316541968,1.0,0.0,0.0,56.77,0.0,0.0,0.0
2015-09-14,57.1,62.0,52.9,59.49,6023700,59.49,21.87,27.14,80.5821665438,89.4574881808,88.9289690991,90.5145263442,0.0,2.72,21.81,-7.15,75.3107734807,0.0,143.888,-57.8485333333,1.0,55.5844361312,1.0,1.0,0.0,59.49,0.0,0.0,0.0
