,FundCode,FundName,Benchmark,IndexCode,IndexName
0,159901,易方达深证100ETF,深证100价格指数,399330,深证100P
1,159902,华夏中小板ETF,中小企业板价格指数,399005,中小板指
2,159903,南方深成ETF,深证成份指数,399001,深证成指
3,159905,工银瑞信深证红利ETF,深证红利价格指数,399324,深红利P
4,159906,大成深证成长40ETF,深证成长40价格指数,399326,成长40P
5,159907,广发中小板300ETF,中小板300价格指数,399008,中小300
6,159908,博时深证基本面200ETF,深证基本面200指数,399703,深证F200
7,159909,招商深证TMT50ETF,深证TMT50指数,399610,深TMT50P
8,159910,嘉实深证基本面120ETF,深证基本面120指数,399702,深证F120
9,159911,鹏华深证民营ETF,深证民营价格指数,399337,深民营P
10,159912,汇添富深证300ETF,深证300指数,399007,深证300P
11,159913,交银深证300价值ETF,深证300价值价格指数,399348,深价值P
12,159915,易方达创业板ETF,创业板指数,399006,创业板指
13,159916,建信深证基本面60ETF,深证基本面60指数,399701,深证F60
14,159918,嘉实中创400ETF,中创400指数,399624,中创400
15,159919,嘉实沪深300ETF,沪深300指数,000300,沪深300
16,159920,华夏恒生ETF,经人民币汇率调整的恒生指数收益率,      ,恒生指数
17,159921,诺安中小板等权ETF,中小板等权重指数收益率,399634,中小板EW
18,159922,嘉实中证500ETF,中证500指数,000905,中证500
19,159923,大成中证100ETF,中证100指数,000903,中证100
20,159924,景顺长城300等权ETF,沪深300等权重指数,000984,300等权
21,159925,南方开元沪深300ETF,沪深300指数,000300,沪深300
22,159926,嘉实中证中期国债ETF,中证金边中期国债指数,H11017,中期国债
23,159927,鹏华沪深300ETF,沪深300指数,000300,沪深300
24,159928,汇添富中证主要消费ETF,中证主要消费指数,000932,中证消费
25,159929,汇添富中证医药卫生ETF,中证医药卫生指数,000933,中证医药
26,159930,汇添富中证能源ETF,中证能源指数,000928,中证能源
27,159931,汇添富中证金融地产ETF,中证金融地产指数,000934,中证金融
28,159932,大成中证500深市ETF,中证500深市价格指数,399802,500深市
29,159933,国投瑞银沪深300金融地产ETF,沪深300金融地产指数,000914,300金融
30,159935,景顺长城中证500ETF,中证500指数,000905,中证500
31,159936,广发中证全指可选消费ETF,中证全指可选消费指数,000989,全指可选
32,159938,广发中证全指医药卫生ETF,中证全指医药卫生指数,000991,全指医药
33,159939,广发中证全指信息技术ETF,中证全指信息技术指数,000993,全指信息
34,159940,广发中证全指金融地产ETF,中证全指金融地产指数,000934,中证金融
35,159941,广发纳斯达克100ETF,纳斯达克100指数(Nasdaq-100 Index)收益率(经汇率调整后的总收益指数收益率),      ,纳斯达克100
36,159942,华润元大中创100ETF,中创100指数,399612,中创100
37,159943,大成深证成份ETF,深证成份指数,399001,深证成指
38,159944,广发中证全指原材料ETF,中证全指原材料指数,000987,全指材料
39,159945,广发中证全指能源ETF,中证全指能源指数,000986,全指能源
40,159946,广发中证全指主要消费ETF,中证全指主要消费指数,000990,全指消费
41,510010,交银180治理ETF,上证180公司治理指数,000021,180治理
42,510020,博时超大盘ETF,上证超级大盘指数,000043,上证超大盘
43,510030,华宝兴业上证180价值ETF,上证180价值指数,000029,上证180价值
44,510050,华夏上证50ETF,上证50指数,000016,上证50
45,510060,工银上证央企50ETF,上证央企50指数,000042,上证央企50
46,510070,鹏华上证民企50ETF,上证民营企业50指数,000049,上证民企
47,510090,建信上证社会责任ETF,上证社会责任指数,000048,责任指数
48,510110,海富通上证周期ETF,上证周期行业50指数,000063,上证周期
49,510120,海富通上证非周期ETF,上证非周期行业100指数,000064,上证非周期100
50,510130,易方达上证中盘ETF,上证中盘指数,000044,上证中盘
51,510150,招商上证消费80ETF,上证消费80指数,000069,消费80
52,510160,南方小康产业ETF,中证南方小康产业指数,000901,小康指数
53,510170,国联安上证商品ETF,上证大宗商品股票指数,000066,上证商品
54,510180,华安上证180ETF,上证180指数,000010,上证180
55,510190,华安上证龙头ETF,上证龙头企业指数,000065,上证龙头
56,510210,富国上证综指ETF,上证综合指数,000001,上证综指
57,510220,华泰柏瑞上证中小盘ETF,上证中小盘指数,000046,上证中小
58,510230,国泰上证180金融ETF,上证180金融股指数,000018,180金融
59,510260,诺安上证新兴产业ETF,上证新兴产业指数收益率,000067,上证新兴
60,510270,中银上证国企ETF,上证国有企业100指数,000056,上证国企
61,510280,华宝兴业上证180成长ETF,上证180成长指数,000028,上证180成长
62,510290,南方上证380ETF,上证380指数,000009,上证380
